"Heuristica","Makespan médio","Desvio Padrão Makespan","FlowTime médio","Desvio Padrão Flowtime","Utilização média das máquinas","Desvio Padrão Utilização","Tempo computacional médio","Desvio Padrão Tempo computacional"
"MET","7251931.810","10.049%","140136304.620","3.928%","0.610","9.185%","0.09","418.552%"
"MCT","6827595.840","5.039%","197246938.890","4.532%","0.904","2.933%","0.23","182.971%"
"MinMin","5779998.490","6.111%","145972647.480","4.079%","0.791","4.797%","21.56","44.321%"
"XSufferage","5221859.810","5.928%","153318089.070","3.880%","0.920","3.803%","73.84","38.509%"
"MinMean","5670897.600","6.358%","150498051.040","3.966%","0.832","4.806%","24.5","43.456%"
"MaxMin","11800473.130","4.311%","376479193.540","4.302%","0.997","0.126%","39.37","32.670%"
"MinVar","5147411.140","5.029%","157505764.440","3.928%","0.958","3.122%","23.7","41.180%"
"OLB","76289272.470","2.783%","2306229816.710","2.611%","0.945","1.148%","0.19","219.481%"
"MinMax","6100806.490","4.189%","193265587.610","4.182%","0.990","0.498%","71.83","36.379%"
