"Heuristica","Makespan","FlowTime","matchingProximity","Utilização média das máquinas","Tempo computacional"
"MET","7345809.000","140035689.000","1.000","0.596","3.0"
"MCT","6669341.000","197578785.000","0.908","0.926","1.0"
"MinMin","5574273.000","147398082.000","0.759","0.827","60.0"
"XSufferage","5167714.000","153905910.000","0.704","0.931","105.0"
"MinMean","5532093.000","152451640.000","0.754","0.862","71.0"
"MaxMin","11222982.000","358559244.000","1.528","0.999","88.0"
"MinVar","5171076.000","162043376.000","0.704","0.980","21.0"
"OLB","76329097.000","2277252143.000","10.391","0.933","1.0"
"MinMax","5860042.000","186741986.000","0.798","0.996","110.0"
