"Heuristica","Makespan médio","Desvio Padrão Makespan","Heuristic ETC/MET ETC","MPR","FlowTime médio","Desvio Padrão Flowtime","Utilização média das máquinas","Desvio Padrão Utilização","Tempo computacional médio","Desvio Padrão Tempo computacional"
"MET","390261.600","6.649%","1.000","1.000","8779237.580","1.598%","0.706","6.502%","0.15","288.676%"
"MCT","299970.365","1.636%","1.062","0.769","9322526.280","1.604%","0.972","0.421%","0.12","270.802%"
"MinMin","285805.430","1.568%","1.009","0.733","8856120.980","1.580%","0.969","0.304%","21.99","36.807%"
"XSufferage","280126.025","1.623%","1.016","0.718","8911651.370","1.596%","0.995","0.166%","52.1","18.335%"
"MinMean","284112.518","1.557%","1.010","0.729","8862671.750","1.575%","0.975","0.448%","21.32","32.705%"
"MaxMin","314023.912","1.739%","1.142","0.805","10022571.740","1.742%","0.998","0.066%","35.27","22.742%"
"MinVar","281160.277","1.550%","1.011","0.721","8873302.830","1.564%","0.987","0.090%","21.63","30.293%"
"OLB","329240.220","1.736%","1.164","0.844","10216659.000","1.644%","0.970","0.491%","0.13","280.638%"
"MinMax","290167.669","1.636%","1.055","0.744","9259838.480","1.636%","0.998","0.061%","63.49","27.311%"
