"Heuristica","Makespan","FlowTime","matchingProximity","Utilização média das máquinas","Tempo computacional"
"MET","117972.550","16009044.000","1.000","0.531","13.0"
"MCT","112263.520","22850566.000","0.952","0.796","12.0"
"MinMin","98530.001","16670523.000","0.836","0.661","19937.0"
"XSufferage","84819.590","17785852.000","0.719","0.820","34765.0"
"MinMean","97365.570","17197663.000","0.826","0.690","16542.0"
"MaxMin","175508.530","44551772.000","1.488","0.992","22250.0"
"MinVar","84306.121","18103009.000","0.715","0.839","16459.0"
"OLB","8674688.011","2061788490.000","73.532","0.929","9.0"
"MinMax","88873.171","22342144.000","0.754","0.983","23443.0"
