"Heuristica","Makespan médio","Desvio Padrão Makespan","FlowTime médio","Desvio Padrão Flowtime","Utilização média das máquinas","Desvio Padrão Utilização","Tempo computacional médio","Desvio Padrão Tempo computacional"
"MET","235639.900","11.015%","4554601.370","3.914%","0.611","9.966%","0.24","243.813%"
"MCT","211874.000","5.180%","6164261.830","4.158%","0.911","3.360%","0.26","177.258%"
"MinMin","179876.660","5.810%","4701172.720","3.912%","0.819","4.028%","32.55","44.254%"
"XSufferage","163465.890","5.633%","4874688.740","3.953%","0.934","3.694%","101.59","32.120%"
"MinMean","176786.190","5.763%","4821629.920","3.952%","0.854","4.074%","29.03","33.778%"
"MaxMin","365474.160","3.960%","11667156.350","3.958%","0.998","0.092%","54.61","34.845%"
"MinVar","161490.050","4.419%","5015358.250","4.224%","0.971","1.376%","28.58","27.778%"
"OLB","2054572.660","3.061%","62090054.780","2.923%","0.945","1.252%","0.19","231.759%"
"MinMax","190076.450","3.869%","6031319.480","3.869%","0.992","0.460%","100.05","22.632%"
