"Heuristica","Makespan médio","Desvio Padrão Makespan","Heuristic ETC/MET ETC","MPR","FlowTime médio","Desvio Padrão Flowtime","Utilização média das máquinas","Desvio Padrão Utilização","Tempo computacional médio","Desvio Padrão Tempo computacional"
"MET","109651.183","5.632%","1.000","1.000","2545458.980","0.616%","0.728","5.533%","0.22","218.750%"
"MCT","98739.622","1.192%","1.205","0.901","3065230.400","1.004%","0.971","0.725%","0.2","200.000%"
"MinMin","84793.820","1.072%","1.012","0.774","2574523.350","0.649%","0.949","0.848%","30.52","44.454%"
"XSufferage","83721.504","0.949%","1.024","0.764","2605973.090","0.663%","0.973","0.685%","100.52","39.569%"
"MinMean","84474.594","1.061%","1.014","0.771","2578571.330","0.640%","0.954","0.798%","30.8","53.455%"
"MaxMin","159522.861","1.281%","1.983","1.455","5045388.490","1.282%","0.989","0.195%","62.83","61.819%"
"MinVar","82953.742","1.139%","1.024","0.757","2605929.940","0.741%","0.982","0.902%","29.46","53.271%"
"OLB","330230.888","1.655%","4.028","3.012","10251716.340","1.684%","0.971","0.460%","0.2","200.000%"
"MinMax","97604.742","0.976%","1.198","0.891","3049422.700","0.935%","0.977","0.470%","106.87","38.526%"
