"Heuristica","Makespan médio","Desvio Padrão Makespan","Heuristic ETC/MET ETC","MPR","FlowTime médio","Desvio Padrão Flowtime","Utilização média das máquinas","Desvio Padrão Utilização","Tempo computacional médio","Desvio Padrão Tempo computacional"
"MET","110464.386","6.281%","1.000","1.000","2543796.140","0.640%","0.723","6.213%","0.11","424.362%"
"MCT","98651.725","1.181%","1.205","0.894","3064404.090","0.938%","0.971","0.730%","0.09","317.980%"
"MinMin","84753.117","1.238%","1.012","0.768","2572598.750","0.649%","0.949","0.987%","20.91","50.879%"
"XSufferage","83723.447","0.970%","1.024","0.758","2603589.850","0.646%","0.972","0.723%","67.89","14.649%"
"MinMean","84590.700","1.219%","1.013","0.766","2576183.020","0.645%","0.952","0.999%","20.43","43.298%"
"MaxMin","159548.756","1.108%","1.984","1.445","5046149.740","1.133%","0.989","0.200%","37.77","21.045%"
"MinVar","82932.582","1.049%","1.023","0.751","2601904.960","0.758%","0.981","0.947%","20.13","40.631%"
"OLB","329425.856","1.502%","4.022","2.983","10228742.760","1.427%","0.971","0.515%","0.15","238.048%"
"MinMax","97468.678","0.974%","1.198","0.883","3045402.260","0.901%","0.977","0.393%","70.32","11.105%"
