"Heuristica","Makespan","FlowTime","matchingProximity","Utilização média das máquinas","Tempo computacional"
"MET","222229.000","4732014.000","1.000","0.666","4.0"
"MCT","237191.000","6896062.000","1.068","0.909","1.0"
"MinMin","201604.000","4869695.000","0.908","0.755","55.0"
"XSufferage","169756.000","5169873.000","0.764","0.952","110.0"
"MinMean","201220.000","5027819.000","0.906","0.781","49.0"
"MaxMin","392577.000","12535031.000","1.767","0.998","80.0"
"MinVar","182499.000","5236579.000","0.822","0.897","35.0"
"OLB","2600084.000","78773951.000","11.701","0.947","1.0"
"MinMax","204757.000","6467746.000","0.922","0.988","123.0"
