"Heuristica","Makespan","Utilização Média","FlowTime","ComputationTime","matchingProximity"
"MET","117952.0","0.5300426431408539","1.6005015E7","28.0","1.0"
"MCT","111275.0","0.7994037505616716","2.2772135E7","22.0","0.9433922273467173"
"MinMin","98512.0","0.6619125794953914","1.6692821E7","38081.0","0.8351871947911015"
"Sufferage","111275.0","0.7994037505616716","2.2772135E7","3831.0","0.9433922273467173"
"MinMean","98143.0","0.6857443109162141","1.7229057E7","32579.0","0.8320588035811177"
"MaxMin","175408.0","0.9901344739835127","4.4461442E7","37519.0","1.4871134020618557"
"MinVar","95101.0","0.7215567610356358","1.7566917E7","16102.0","0.8062686516549105"
"OLB","8506157.0","0.930262375407161","2.025717201E9","16.0","72.11541135377102"
