"Heuristica","Makespan médio","Desvio Padrão Makespan","Heuristic ETC/MET ETC","MPR","FlowTime médio","Desvio Padrão Flowtime","Utilização média das máquinas","Desvio Padrão Utilização","Tempo computacional médio","Desvio Padrão Tempo computacional"
"MET","111235.764","6.631%","1.000","1.000","2545668.190","0.611%","0.719","6.419%","0.16","275.568%"
"MCT","98602.054","1.128%","1.204","0.887","3063546.680","0.951%","0.971","0.651%","0.17","220.961%"
"MinMin","84695.495","1.088%","1.012","0.762","2574455.290","0.632%","0.950","0.863%","21.36","33.529%"
"XSufferage","83752.963","0.962%","1.024","0.753","2605158.120","0.669%","0.973","0.736%","68.48","16.089%"
"MinMean","84440.217","1.170%","1.014","0.760","2578899.560","0.645%","0.955","0.961%","21.37","27.459%"
"MaxMin","159497.188","1.170%","1.981","1.434","5041981.220","1.164%","0.988","0.205%","41.0","20.788%"
"MinVar","82909.273","0.992%","1.024","0.746","2605052.030","0.678%","0.982","0.866%","21.0","26.117%"
"OLB","330123.272","1.607%","4.028","2.968","10252648.820","1.684%","0.971","0.475%","0.1","300.000%"
"MinMax","97744.571","0.920%","1.200","0.879","3053525.390","0.916%","0.977","0.487%","76.03","14.171%"
