"Heuristica","Makespan","Heuristic ETC/MET ETC","MPR","FlowTime","Utilização média das máquinas","Tempo computacional"
"MET","7973581.690","1.000","1.000","15921086.000","0.008","13.0"
"MinVar","1410125.450","13.886","0.177","221064529.000","0.613","17626.0"
