"Heuristica","Makespan médio","Desvio Padrão Makespan","Heuristic ETC/MET ETC","MPR","FlowTime médio","Desvio Padrão Flowtime","Utilização média das máquinas","Desvio Padrão Utilização","Tempo computacional médio","Desvio Padrão Tempo computacional"
"MET","37889751.787","6.517%","1.000","1.000","879461755.360","0.275%","0.729","6.083%","0.2","234.521%"
"MCT","29765715.465","0.422%","1.065","0.786","936113093.520","0.358%","0.983","0.243%","0.15","238.048%"
"MinMin","27951977.459","0.398%","1.003","0.738","881763862.290","0.275%","0.986","0.290%","26.7","41.051%"
"XSufferage","28319732.026","0.374%","1.014","0.748","891694476.330","0.281%","0.984","0.231%","69.46","31.084%"
"MinMean","27951977.459","0.398%","1.003","0.738","881763862.290","0.275%","0.986","0.290%","26.23","44.264%"
"MaxMin","32707132.567","0.472%","1.177","0.864","1034543331.230","0.418%","0.989","0.160%","45.65","39.012%"
"MinVar","27951977.459","0.398%","1.003","0.738","881763862.290","0.275%","0.986","0.290%","24.69","29.217%"
"OLB","32576660.820","0.462%","1.165","0.860","1024079320.640","0.374%","0.983","0.254%","0.11","284.446%"
"MinMax","29463509.917","0.367%","1.059","0.778","930671135.740","0.341%","0.988","0.162%","75.39","23.542%"
