"Heuristica","Makespan","Utilização Média","FlowTime","ComputationTime","matchingProximity"
"MET","1345163.2400000002","0.47278507163863814","1.62809113E8","32.0","1.0"
"MCT","1181897.89","0.7684587122385634","2.32509371E8","29.0","0.8786278533748809"
"MinMin","998990.06","0.6638208147014109","1.69766501E8","38046.0","0.7426534046529549"
"Sufferage","1181897.89","0.7684587122385634","2.32509371E8","5124.0","0.8786278533748809"
"MinMean","986447.0000000001","0.696526351247837","1.758941E8","47811.0","0.7333288411895644"
"MaxMin","1776863.8699999999","0.9885011916476327","4.49646605E8","61712.0","1.320928060745995"
"MinVar","949459.06","0.7443068758738796","1.8091236E8","36760.0","0.7058318513075037"
"OLB","8.642400652E7","0.9272203737730336","2.0514329504E10","16.0","64.24796927992173"
