"Heuristica","Makespan","Heuristic ETC/MET ETC","MPR","FlowTime","Utilização média das máquinas","Tempo computacional"
"MET","16264295.360","1.000","1.000","16264295.000","0.004","13.0"
"MinVar","1500182.130","19.320","0.093","314224429.000","0.819","24691.0"
