"Heuristica","Makespan médio","Desvio Padrão Makespan","Heuristic ETC/MET ETC","MPR","FlowTime médio","Desvio Padrão Flowtime","Utilização média das máquinas","Desvio Padrão Utilização","Tempo computacional médio","Desvio Padrão Tempo computacional"
"MET","11146746.496","6.942%","1.000","1.000","254322692.300","0.715%","0.717","6.711%","0.15","303.682%"
"MCT","9866447.982","1.135%","1.206","0.886","306492809.270","0.966%","0.971","0.606%","0.15","256.039%"
"MinMin","8475090.770","1.163%","1.012","0.761","257172667.660","0.722%","0.949","0.933%","26.97","36.917%"
"XSufferage","8378737.527","0.998%","1.024","0.752","260318214.090","0.745%","0.971","0.808%","86.6","19.065%"
"MinMean","8453938.995","1.188%","1.013","0.759","257508433.640","0.722%","0.952","1.000%","25.78","24.890%"
"MaxMin","15966285.356","1.335%","1.985","1.433","504778463.410","1.308%","0.988","0.189%","50.69","29.465%"
"MinVar","8266417.055","1.098%","1.024","0.742","260314021.650","0.758%","0.985","0.747%","26.55","47.033%"
"OLB","32903829.249","1.432%","4.018","2.952","1021764939.340","1.374%","0.971","0.484%","0.16","245.587%"
"MinMax","9753436.825","1.329%","1.198","0.876","304440153.090","1.129%","0.976","0.537%","82.65","20.391%"
"MinMax2","8629471.811","1.289%","1.044","0.775","265345698.860","0.782%","0.961","0.922%","92.34","16.082%"
