"Heuristica","Makespan médio","Desvio Padrão Makespan","Heuristic ETC/MET ETC","MPR","FlowTime médio","Desvio Padrão Flowtime","Utilização média das máquinas","Desvio Padrão Utilização","Tempo computacional médio","Desvio Padrão Tempo computacional"
"MET","856979.818","7.224%","1.000","1.000","19789609.940","0.270%","0.726","6.848%","0.22","253.733%"
"MCT","670349.441","0.398%","1.065","0.783","21069149.310","0.313%","0.983","0.254%","0.21","205.315%"
"MinMin","629071.175","0.422%","1.003","0.735","19841589.710","0.271%","0.986","0.300%","28.09","42.999%"
"XSufferage","637332.317","0.353%","1.014","0.744","20062893.050","0.280%","0.984","0.243%","71.89","26.262%"
"MinMean","629071.175","0.422%","1.003","0.735","19841589.710","0.271%","0.986","0.300%","29.97","81.513%"
"MaxMin","735965.452","0.486%","1.177","0.859","23279869.950","0.414%","0.989","0.174%","47.26","30.997%"
"MinVar","629071.175","0.422%","1.003","0.735","19841589.710","0.271%","0.986","0.300%","27.11","33.366%"
"OLB","733148.991","0.534%","1.165","0.856","23041344.610","0.426%","0.983","0.272%","0.17","220.961%"
"MinMax","663320.849","0.434%","1.059","0.775","20948111.580","0.358%","0.987","0.172%","82.62","30.752%"
