"Heuristica","Makespan","Utilização Média","FlowTime","ComputationTime (miliseconds)","matchingProximity"
"MET","16264295.360","0.004","16264295.000","13.0","1.000"
"MCT","2279612.700","0.933","544248603.000","14.0","0.141"
"MinMin","1500182.130","0.819","314224429.000","18470.0","0.093"
"Sufferage","2058652.351","0.973","512731287.000","29231.0","0.127"
"MinMean","1496761.230","0.877","335694889.000","17514.0","0.093"
"MaxMin","2098618.920","1.000","537025237.000","23325.0","0.130"
"MinVar","1490883.381","0.959","365829708.000","18324.0","0.092"
"OLB","3489377.050","0.789","704763360.000","10.0","0.215"
"MinMax","2060528.121","1.000","527217277.000","26421.0","0.127"
