"Heuristica","Makespan","Utilização Média","FlowTime","ComputationTime (miliseconds)","matchingProximity"
"MET","2413161.000","0.755","29146679.000","3.0","1.000"
"MCT","2684887.000","0.948","40710972.000","1.0","1.113"
"MinMin","2147344.000","0.873","29969124.000","32.0","0.890"
"XSuffrage","2113234.000","0.908","30691178.000","66.0","0.876"
"MinMean","2144809.000","0.893","30633247.000","34.0","0.889"
"MaxMin","4727958.000","1.000","75596278.000","55.0","1.960"
"MinVar","1996912.000","0.992","31681324.000","14.0","0.828"
"OLB","15108965.000","0.988","238682924.000","0.0","6.262"
"MinMax","2359569.000","1.000","37722355.000","101.0","0.978"
