"Heuristica","Makespan","Utilização Média","FlowTime","ComputationTime (miliseconds)","matchingProximity"
"MET","160026373.770","0.004","160026373.000","12.0","1.000"
"MCT","22273437.221","0.931","5308353450.000","20.0","0.140"
"MinMin","14798375.680","0.816","3089442767.000","17882.0","0.093"
"Sufferage","20086598.880","0.977","5022790534.000","40168.0","0.126"
"MinMean","14798375.680","0.873","3304199400.000","17730.0","0.093"
"MaxMin","20755499.251","1.000","5311260749.000","23020.0","0.130"
"MinVar","14798375.680","0.953","3607860585.000","17478.0","0.093"
"OLB","33653093.940","0.809","6966825538.000","11.0","0.211"
"MinMax","20346722.600","1.000","5205586892.000","35673.0","0.128"
