"Heuristica","Makespan","Utilização Média","FlowTime","ComputationTime (miliseconds)","matchingProximity"
"MET","440550.090","0.425","47895524.000","13.0","1.000"
"MCT","318432.610","0.833","67850727.000","19.0","0.723"
"MinMin","301919.790","0.645","49785129.000","9738.0","0.686"
"XSuffrage","269806.541","0.764","52704017.000","36818.0","0.613"
"MinMean","280335.370","0.718","51469128.000","21917.0","0.637"
"MaxMin","522993.630","0.989","132411018.000","24898.0","1.188"
"MinVar","224414.161","0.941","54006543.000","18501.0","0.510"
"OLB","25567430.201","0.925","6052349818.000","11.0","58.036"
"MinMax","271514.050","0.971","67488148.000","32555.0","0.617"
