"Heuristica","Makespan","Utilização Média","FlowTime","ComputationTime (miliseconds)","matchingProximity"
"MET","473287.911","0.004","473287.000","14.0","1.000"
"MCT","67167.010","0.931","16004124.000","26.0","0.142"
"MinMin","43670.330","0.811","9066639.000","22414.0","0.093"
"XSuffrage","60911.410","0.965","15032455.000","34721.0","0.129"
"MinMean","43641.400","0.871","9720023.000","16824.0","0.093"
"MaxMin","61594.480","1.000","15764047.000","29452.0","0.131"
"MinVar","43570.181","0.953","10625793.000","18569.0","0.093"
"OLB","104959.811","0.770","20675150.000","11.0","0.222"
"MinMax","61026.480","1.000","15615187.000","33939.0","0.129"
