"Heuristica","Makespan","Heuristic ETC/MET ETC","MPR","FlowTime","Utilização média das máquinas","Tempo computacional"
"MET","7973581.690","1.000","1.000","15921086.000","0.008","13.0"
"MinVar","784136.880","11.555","0.099","183960953.000","0.917","18606.0"
