"Heuristica","Makespan","Utilização Média","FlowTime","ComputationTime","matchingProximity"
"MET","5130.0","0.5341130604288499","8220.0","0.0","1.0"
"MCT","5000.0","0.673","10095.0","0.0","0.9746588693957114"
"MinMin","5130.0","0.5341130604288499","8220.0","0.0","1.0"
"Sufferage","5000.0","0.673","10095.0","3.0","0.9746588693957114"
"MinMean","4230.0","0.6556343577620173","8320.0","0.0","0.8245614035087719"
"MaxMin","4230.0","0.6556343577620173","8320.0","0.0","0.8245614035087719"
"MinVar","4230.0","0.6556343577620173","8320.0","1.0","0.8245614035087719"
"OLB","4230.0","0.6556343577620173","8320.0","0.0","0.8245614035087719"
