"Heuristica","Makespan","Utilização Média","FlowTime","ComputationTime (miliseconds)","matchingProximity"
"MET","15581.061","0.004","15581.000","12.0","1.000"
"MCT","2217.670","0.929","527407.000","16.0","0.143"
"MinMin","1458.770","0.813","303578.000","21622.0","0.094"
"Sufferage","2012.660","0.958","493458.000","32959.0","0.130"
"MinMean","1455.410","0.871","324404.000","21034.0","0.094"
"MaxMin","2030.170","1.000","519490.000","24939.0","0.131"
"MinVar","1444.540","0.957","353635.000","7856.0","0.093"
"OLB","3176.410","0.843","685115.000","8.0","0.204"
"MinMax","2005.631","1.000","513151.000","45385.0","0.129"
