"Heuristica","Makespan","Utilização Média","FlowTime","ComputationTime (miliseconds)","matchingProximity"
"MET","7810.191","0.009","16066.000","22.0","1.000"
"MCT","1200.970","0.860","264148.000","23.0","0.154"
"MinMin","806.780","0.644","132906.000","33789.0","0.104"
"Sufferage","1066.500","0.909","248126.000","54982.0","0.137"
"MinMean","797.440","0.759","154832.000","23732.0","0.103"
"MaxMin","1123.250","0.998","286908.000","42476.0","0.144"
"MinVar","784.681","0.922","185133.000","14259.0","0.101"
"OLB","7925.640","0.919","1864467.000","14.0","1.015"
"MinMax","1066.940","0.997","272189.000","54426.0","0.137"
