"Heuristica","Makespan","Heuristic ETC/MET ETC","MPR","FlowTime","Utilização média das máquinas","Tempo computacional"
"MET","7973581.690","1.000","1.000","15921086.000","0.008","13.0"
"MCT","1167637.530","16.418","0.147","261388476.000","0.875","12.0"
"MinMin","804213.340","8.263","0.101","131551200.000","0.639","23320.0"
"XSufferage","1063132.740","15.764","0.134","250966378.000","0.923","35950.0"
"MinMean","798903.170","9.638","0.101","153438825.000","0.751","18279.0"
"MaxMin","1117836.180","17.952","0.141","285809118.000","0.999","22679.0"
"MinVar","804213.340","8.263","0.101","131551200.000","0.639","17548.0"
"OLB","7895909.961","117.048","0.991","1863518716.000","0.922","11.0"
"MinMax","1048891.611","16.813","0.132","267675429.000","0.997","36866.0"
