"Heuristica","Makespan","Heuristic ETC/MET ETC","MPR","FlowTime","Utilização média das máquinas","Tempo computacional"
"MET","16264295.360","1.000","1.000","16264295.000","0.004","13.0"
"MinVar","1490883.381","22.493","0.092","365829708.000","0.959","18479.0"
