"Heuristica","Makespan","Utilização Média","FlowTime","ComputationTime (miliseconds)","matchingProximity"
"MET","157119816.291","0.016","157119816.000","4.0","1.000"
"MCT","28519529.961","0.932","1700951025.000","3.0","0.182"
"MinMin","19552221.831","0.846","1058074580.000","320.0","0.125"
"Sufferage","25579857.841","0.985","1611180231.000","555.0","0.163"
"MinMean","19493160.231","0.890","1109493525.000","307.0","0.125"
"MaxMin","27653014.040","1.000","1768866751.000","367.0","0.176"
"MinVar","19443258.121","0.950","1181988166.000","124.0","0.124"
"OLB","39935802.090","0.865","2208996373.000","2.0","0.255"
"MinMax","25670599.780","1.000","1642178183.000","564.0","0.164"
