"Heuristica","Makespan","Utilização Média","FlowTime","ComputationTime","matchingProximity"
"MET","117972.0","0.5300837213429098","1.6009044E7","24.0","1.0"
"MCT","112263.0","0.7950937787103503","2.2850566E7","42.0","0.9516071610212593"
"MinMin","98530.0","0.6609076645437935","1.6670523E7","60881.0","0.8351981826196047"
"Sufferage","112263.0","0.7950937787103503","2.2850566E7","6941.0","0.9516071610212593"
"MinMean","97365.0","0.6899602478833123","1.7197663E7","41102.0","0.8253229579900315"
"MaxMin","175508.0","0.9915777956151905","4.4551772E7","30823.0","1.487708947885939"
"MinVar","96856.0","0.7085027284696919","1.7567552E7","25754.0","0.8210083748686129"
"OLB","8674688.0","0.9284323866916434","2.06178849E9","17.0","73.5317532973926"
