"Heuristica","Makespan","Utilização Média","FlowTime","ComputationTime (miliseconds)","matchingProximity"
"MET","803055.401","0.008","1585730.000","13.0","1.000"
"MCT","119061.781","0.875","26641164.000","13.0","0.149"
"MinMin","79826.940","0.642","13117388.000","52688.0","0.100"
"Sufferage","106631.750","0.948","25877797.000","97079.0","0.133"
"MinMean","79786.420","0.755","15416475.000","24261.0","0.100"
"MaxMin","111141.501","0.999","28401529.000","30793.0","0.139"
"MinVar","78139.380","0.930","18595553.000","21681.0","0.098"
"OLB","791106.370","0.914","185077115.000","8.0","0.986"
"MinMax","107304.291","0.998","27391820.000","43667.0","0.134"
