"Heuristica","Makespan","Utilização Média","FlowTime","ComputationTime","matchingProximity"
"MET","128","0.387481689453125","12697.0","17.0","1.0"
"MCT","94","0.8008643617021277","19272.0","15.0","0.734375"
"MinMin","79","0.6555083069620253","13257.0","33502.0","0.6171875"
"Sufferage","94","0.8008643617021277","19272.0","2101.0","0.734375"
"MinMean","79","0.6810225474683544","13773.0","22159.0","0.6171875"
"MaxMin","147","0.9745960884353742","36676.0","31303.0","1.1484375"
"MinVar","78","0.7111879006410257","14201.0","22990.0","0.609375"
"OLB","8579","0.9228202587714186","2026720.0","16.0","67.0234375"
