"Heuristica","Makespan","Utilização Média","FlowTime","ComputationTime","matchingProximity"
"MET","1345163.0","0.47278507163863814","1.62809113E8","26.0","1.0"
"MCT","1181897.0","0.7684587122385634","2.32509371E8","30.0","0.8786273485072069"
"MinMin","998990.0","0.6638208147014109","1.69766501E8","14518.0","0.7426534925507169"
"Sufferage","1181897.0","0.7684587122385634","2.32509371E8","3981.0","0.8786273485072069"
"MinMean","986447.0","0.696526351247837","1.758941E8","37680.0","0.7333289720279252"
"MaxMin","1776863.0","0.9885011916476327","4.49646605E8","19506.0","1.3209276496603013"
"MinVar","949459.0","0.7443068758738796","1.8091236E8","44745.0","0.7058319326356731"
"OLB","8.6424006E7","0.9272203737730336","2.0514329504E10","30.0","64.24798035628396"
