"Heuristica","Makespan médio","Desvio Padrão Makespan","Heuristic ETC/MET ETC","MPR","FlowTime médio","Desvio Padrão Flowtime","Utilização média das máquinas","Desvio Padrão Utilização","Tempo computacional médio","Desvio Padrão Tempo computacional"
"MET","114668.487","7.991%","1.000","1.000","2540197.550","1.647%","0.697","7.306%","0.13","280.638%"
"MCT","100178.004","2.037%","1.211","0.874","3075919.630","1.718%","0.960","1.055%","0.14","267.643%"
"MinMin","86872.256","1.972%","1.019","0.758","2586282.910","1.666%","0.931","1.117%","19.29","39.903%"
"XSufferage","84165.554","1.982%","1.031","0.734","2617941.120","1.661%","0.973","1.311%","67.12","18.154%"
"MinMean","86179.147","2.123%","1.025","0.752","2602289.230","1.684%","0.944","1.255%","19.06","25.519%"
"MaxMin","149543.101","1.898%","1.877","1.305","4767104.100","1.894%","0.997","0.083%","36.1","23.254%"
"MinVar","83758.950","1.781%","1.042","0.731","2645034.530","1.725%","0.987","0.459%","18.93","22.266%"
"OLB","335577.650","2.739%","4.031","2.927","10238808.600","2.565%","0.954","0.921%","0.15","238.048%"
"MinMax","96131.947","1.762%","1.204","0.839","3057322.490","1.768%","0.994","0.136%","65.78","9.653%"
