"Heuristica","Makespan médio","Desvio Padrão Makespan","Heuristic ETC/MET ETC","MPR","FlowTime médio","Desvio Padrão Flowtime","Utilização média das máquinas","Desvio Padrão Utilização","Tempo computacional médio","Desvio Padrão Tempo computacional"
"MET","383567.175","6.253%","1.000","1.000","8794032.080","0.251%","0.720","6.072%","0.13","300.985%"
"MCT","297758.033","0.380%","1.065","0.777","9359058.740","0.321%","0.983","0.209%","0.1","331.663%"
"MinMin","279414.524","0.386%","1.003","0.729","8817264.270","0.251%","0.987","0.322%","20.28","38.323%"
"XSufferage","283272.215","0.360%","1.014","0.739","8917028.330","0.258%","0.984","0.225%","55.89","25.131%"
"MinMean","279414.524","0.386%","1.003","0.729","8817264.270","0.251%","0.987","0.322%","20.36","24.307%"
"MaxMin","326929.571","0.417%","1.176","0.853","10339480.090","0.355%","0.989","0.180%","37.18","22.706%"
"MinVar","279414.524","0.386%","1.003","0.729","8817264.270","0.251%","0.987","0.322%","20.77","33.674%"
"OLB","325690.595","0.488%","1.164","0.850","10234610.000","0.394%","0.983","0.285%","0.2","200.000%"
"MinMax","294628.503","0.390%","1.059","0.769","9307135.920","0.354%","0.988","0.149%","65.14","19.558%"
