"Heuristica","Makespan","Utilização Média","FlowTime","ComputationTime (miliseconds)","matchingProximity"
"MET","80.000","0.542","130.000","0.0","1.000"
"MCT","80.000","0.542","130.000","0.0","1.000"
"MinMin","80.000","0.584","140.000","0.0","1.000"
"Sufferage","60.000","0.834","150.000","0.0","0.750"
"MinMean","60.000","0.834","150.000","1.0","0.750"
"MaxMin","70.000","0.810","170.000","0.0","0.875"
"MinVar","60.000","0.834","150.000","24.0","0.750"
"OLB","125.000","0.574","215.000","0.0","1.563"
