"Heuristica","Makespan","Utilização Média","FlowTime","ComputationTime (miliseconds)","matchingProximity"
"MET","145.000","0.334","145.000","0.0","1.000"
"MCT","115.000","0.458","158.000","0.0","0.794"
"MinMin","125.000","0.440","165.000","0.0","0.863"
"Sufferage","115.000","0.487","168.000","14.0","0.794"
"MinMean","125.000","0.440","165.000","1.0","0.863"
"MaxMin","115.000","0.458","158.000","0.0","0.794"
"MinVar","125.000","0.440","165.000","0.0","0.863"
"OLB","125.000","0.440","165.000","0.0","0.863"
