"Heuristica","Makespan","Utilização Média","FlowTime","ComputationTime (miliseconds)","matchingProximity"
"MET","144.000","0.415","179.000","0.0","1.000"
"MCT","115.000","0.554","191.000","0.0","0.799"
"MinMin","125.000","0.504","189.000","0.0","0.869"
"Sufferage","115.000","0.525","181.000","14.0","0.799"
"MinMean","125.000","0.504","189.000","1.0","0.869"
"MaxMin","115.000","0.525","181.000","0.0","0.799"
"MinVar","125.000","0.504","189.000","0.0","0.869"
"OLB","125.000","0.526","197.000","0.0","0.869"
