"Heuristica","Makespan","Utilização Média","FlowTime","ComputationTime (miliseconds)","matchingProximity"
"MET","195.000","0.334","195.000","0.0","1.000"
"MCT","143.000","0.602","258.000","0.0","0.734"
"MinMin","125.000","0.574","215.000","1.0","0.642"
"Sufferage","125.000","0.582","218.000","13.0","0.642"
"MinMean","125.000","0.574","215.000","1.0","0.642"
"MaxMin","115.000","0.885","305.000","0.0","0.590"
"MinVar","125.000","0.574","215.000","0.0","0.642"
"OLB","125.000","0.574","215.000","0.0","0.642"
