"Heuristica","Makespan","matchingProximity makespan MET","matchingProximity makespan MAIOR","FlowTime","Utilização média das máquinas","Tempo computacional"
"MET","1609.110","1.000","1.000","1609.000","0.004","13.0"
"MCT","227.940","0.142","0.142","54424.000","0.933","13.0"
"MinMin","148.951","0.093","0.093","30799.000","0.808","21273.0"
"XSufferage","209.931","0.131","0.131","50605.000","0.942","33127.0"
"MinMean","148.710","0.093","0.093","32807.000","0.862","17025.0"
"MaxMin","207.130","0.129","0.129","53008.000","1.000","22809.0"
"MinVar","148.311","0.093","0.093","35768.000","0.943","7775.0"
"OLB","336.170","0.209","0.209","70732.000","0.822","11.0"
"MinMax","205.371","0.128","0.128","52552.000","1.000","37463.0"
