"Heuristica","Makespan médio","Desvio Padrão Makespan","FlowTime médio","Desvio Padrão Flowtime","Utilização média das máquinas","Desvio Padrão Utilização","Tempo computacional médio","Desvio Padrão Tempo computacional"
"MET","6335.240","9.059%","122270.770","3.857%","0.608","7.825%","0.13","300.985%"
"MCT","5647.040","5.123%","165075.070","4.257%","0.915","2.917%","0.21","193.957%"
"MinMin","4865.350","5.952%","126305.880","3.928%","0.813","4.212%","25.62","34.494%"
"XSufferage","4381.750","5.400%","130843.490","3.989%","0.935","3.232%","81.86","13.554%"
"MinMean","4773.990","5.904%","129445.730","4.003%","0.849","4.302%","26.84","25.634%"
"MaxMin","9861.630","3.926%","314743.270","3.911%","0.998","0.097%","44.98","26.818%"
"MinVar","4356.660","4.175%","134805.080","4.061%","0.968","1.794%","26.3","9.430%"
"OLB","55552.490","2.645%","1679182.850","2.745%","0.945","1.256%","0.15","256.039%"
"MinMax","5090.970","4.187%","161524.720","4.244%","0.992","0.497%","73.86","11.875%"
