"Heuristica","Makespan","FlowTime","matchingProximity","Utilização média das máquinas","Tempo computacional"
"MET","8323.000","179732.000","1.000","0.675","4.0"
"MCT","8330.000","236581.000","1.001","0.888","1.0"
"MinMin","6882.000","186586.000","0.827","0.848","61.0"
"XSufferage","6255.000","192376.000","0.752","0.962","106.0"
"MinMean","6864.000","190250.000","0.825","0.867","92.0"
"MaxMin","14611.000","466820.000","1.756","0.999","70.0"
"MinVar","6305.000","196983.000","0.758","0.977","19.0"
"OLB","83844.000","2549067.000","10.074","0.951","0.0"
"MinMax","7643.000","243517.000","0.919","0.996","122.0"
