"Heuristica","Makespan","FlowTime","matchingProximity","Utilização média das máquinas","Tempo computacional"
"MET","12.620","1604.000","1.000","0.497","15.0"
"MCT","10.940","2277.000","0.867","0.814","12.0"
"MinMin","9.080","1673.000","0.720","0.720","37301.0"
"XSufferage","8.830","1782.000","0.700","0.789","65677.0"
"MinMean","9.080","1692.000","0.720","0.729","33123.0"
"MaxMin","17.890","4544.000","1.418","0.993","40973.0"
"MinVar","8.480","1780.000","0.672","0.820","36140.0"
"OLB","872.870","205784.000","69.166","0.921","23.0"
"MinMax","8.760","2200.000","0.695","0.982","50320.0"
