"Heuristica","Makespan","FlowTime","matchingProximity","Utilização média das máquinas","Tempo computacional"
"MET","5324.000","446489.000","1.000","0.328","15.0"
"MCT","2161.000","509069.000","0.406","0.921","12.0"
"MinMin","2056.000","448646.000","0.387","0.853","19458.0"
"XSufferage","1906.000","449449.000","0.359","0.922","35206.0"
"MinMean","2037.000","453968.000","0.383","0.871","17598.0"
"MaxMin","3462.000","881558.000","0.651","0.995","23938.0"
"MinVar","1903.000","466754.000","0.358","0.959","17720.0"
"OLB","86515.000","20740329.000","16.250","0.937","11.0"
"MinMax","2024.000","515113.000","0.381","0.995","28097.0"
